epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202338,2023-09-23,2024-09-26,lab,sault area hospital,78,5,73,0,0,0,0,0,0,73,0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,63.0,3.0,63.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - thunder bay,46,10,42,0,0,0,0,0,0,42,0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,32.0,2.0,32.0,0.0
202338,2023-09-23,2024-09-26,region,on,7089,1298,5653,19,7,7,11,19,0,5654,25,4132.0,2.0,3.0,1.0,0.0,46.0,4132.0,17.0,4155.0,6.0,4155.0,420.0,2762.0,10.0
202338,2023-09-23,2024-09-26,lab,mb,1118,183,424,3,0,0,3,3,0,424,0,80.0,1.0,0.0,1.0,1.0,0.0,80.0,1.0,100.0,0.0,80.0,21.0,100.0,1.0
202338,2023-09-23,2024-09-26,lab,sk,1305,167,938,9,0,0,7,7,2,847,4,354.0,0.0,3.0,1.0,0.0,0.0,354.0,1.0,354.0,0.0,354.0,53.0,354.0,0.0
202338,2023-09-23,2024-09-26,lab,ab,3571,415,1086,8,5,0,1,6,2,935,3,934.0,3.0,2.0,0.0,0.0,0.0,932.0,9.0,845.0,7.0,912.0,147.0,934.0,4.0
202338,2023-09-23,2024-09-26,region,prairies,5994,765,2448,20,5,0,11,16,4,2206,7,1368.0,4.0,5.0,2.0,1.0,0.0,1366.0,11.0,1299.0,7.0,1346.0,221.0,1388.0,5.0
202338,2023-09-23,2024-09-26,region,bc,2924,552,2832,59,32,2,3,57,2,2826,9,713.0,3.0,2.0,2.0,3.0,0.0,713.0,5.0,713.0,6.0,704.0,110.0,704.0,7.0
202338,2023-09-23,2024-09-26,lab,yk,56,13,43,0,0,0,0,0,0,42,0,,,,,,,,,,,,,,
202338,2023-09-23,2024-09-26,lab,nt,37,7,37,1,1,0,0,1,0,37,0,,,,,,,37.0,0.0,37.0,0.0,37.0,11.0,,
202338,2023-09-23,2024-09-26,lab,nu,97,9,65,1,0,0,0,0,1,65,1,,,,,,,,,,,,,,
202338,2023-09-23,2024-09-26,region,territories,190,29,145,2,1,0,0,1,1,144,1,,,,,,,37.0,0.0,37.0,0.0,37.0,11.0,,
